"ID","job","relation"
1,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
2,"コンサルタント","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
3,"なし","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
4,"財務","データを利用した意思決定や判断"
5,"リレーション&分析","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
6,"UXデザイン室","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
7,"ICTコンサルタント","データウェアハウスやデータマートの設計, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
8,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
9,"企画","分析やレポーティング、意思決定者への助言"
10,"企画","BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
11,"データエンジニア","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
12,"ITマネージャー","分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
13,"エンジニア","依頼を受けてデータの抽出・加工"
14,"CRM","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, 社内のデータ管理"
15,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
16,"バックエンドエンジニア","依頼を受けてデータの抽出・加工"
17,"ソフト開発職","BIツールでダッシュボード作成"
18,"システムエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
19,"ソフトウェア開発","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
20,"データプランナー","依頼を受けてデータの抽出・加工, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
21,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
22,"データまわりもろもろ","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
23,"エキスパート（データアナリティクス）","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
24,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
25,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
26,"データ整備人","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
27,"データサイエンティスト","依頼を受けてデータの抽出・加工"
28,"データサイエンティスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
29,"システムマネージャー","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, データを利用した意思決定や判断"
30,"Director","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
31,"コンサルタント","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
32,"データ運用","依頼を受けてデータの抽出・加工, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
33,"データサイエンティスト","依頼を受けてデータの抽出・加工, 分析やレポーティング、意思決定者への助言"
34,"アナリスト","依頼を受けてデータの抽出・加工, 分析やレポーティング、意思決定者への助言"
35,"データ基盤","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
36,"システム監査","データを利用した意思決定や判断"
37,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
38,"データ分析","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
39,"社内SE","社内のデータ管理"
40,"アナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
41,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
42,"ネットワークエンジニア","社内のデータ管理"
43,"データエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
44,"システムエンジニア","データウェアハウスやデータマートの設計"
45,"データアナリスト","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, 分析やレポーティング、意思決定者への助言"
46,"データサイエンティスト","依頼を受けてデータの抽出・加工, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
47,"ICTセカンドオピニオン","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
48,"IT企画","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
49,"機械学習エンジニア","依頼を受けてデータの抽出・加工, 分析やレポーティング、意思決定者への助言"
50,"データサイエンティスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
51,"データエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
52,"pm","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計"
53,"個人事業主","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
54,"コンサルタント","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
55,"コンシューマシステム事業部","BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
56,"プロセスマイニングコンサルタント/データサイエンティスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
57,"Senior manager","データを利用した意思決定や判断"
58,"プロダクトマネージャー","依頼を受けてデータの抽出・加工, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
59,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
60,"商社の物流・在庫のデータ抽出、加工から分析andロジット回帰や数理最適化迄","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
61,"デジタル","BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
62,"部長","依頼を受けてデータの抽出・加工, 社内のデータ管理"
63,"ソフトウェアエンジニア","依頼を受けてデータの抽出・加工"
64,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
65,"アナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
66,"データアナリスト","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
67,"マーケティング コンサルタント","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
68,"マーケティング","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
69,"データアーキテクト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
70,"エンジニア","データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
71,"営業","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
72,"セールス","依頼を受けてデータの抽出・加工, 社内のデータ管理"
73,"コンサルタント","依頼を受けてデータの抽出・加工, 社内のデータ管理, データを利用した意思決定や判断"
74,"バックエンドエンジニア","BIツールでダッシュボード作成, データウェアハウスやデータマートの設計"
75,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
76,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
77,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
78,"アナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
79,"se","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
80,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
81,"テクニカルセールス","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
82,"営業","依頼を受けてデータの抽出・加工"
83,"IT","データウェアハウスやデータマートの設計, 社内のデータ管理"
84,"SRE","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
85,"データエンジニア","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
86,"代表","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
87,"データアナリスト","分析やレポーティング、意思決定者への助言"
88,"システムエンジニア","BIツールでダッシュボード作成"
89,"研究生","依頼を受けてデータの抽出・加工"
90,"データ管理・分析、システム開発","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
91,"開発者","データウェアハウスやデータマートの設計"
92,"プロジェクトマネージャ","データウェアハウスやデータマートの設計"
93,"Analytics Lead","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, データを利用した意思決定や判断"
94,"エンジニア","BIツールでダッシュボード作成, データウェアハウスやデータマートの作成"
95,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
96,"バックエンドエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
97,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
98,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成"
99,"技術営業","分析やレポーティング、意思決定者への助言"
100,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
101,"販売企画","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
102,"データエンジニア","依頼を受けてデータの抽出・加工"
103,"データサイエンティスト","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
104,"WS本部システム2部","依頼を受けてデータの抽出・加工"
105,"ソフトウェアエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
106,"プロジェクトマネージャー","依頼を受けてデータの抽出・加工, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
107,"Senior analyst","分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
108,"ビジネス開発","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
109,"代表","データを利用した意思決定や判断"
110,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
111,"データサイエンティスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
112,"DX","データを利用した意思決定や判断"
113,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
114,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
115,"データサイエンティスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
116,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
117,"アーキテクト","分析やレポーティング、意思決定者への助言"
118,"データエンジニア","依頼を受けてデータの抽出・加工"
119,"エンジニア","データウェアハウスやデータマートの設計, 社内のデータ管理"
120,"Web エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
121,"システムエンジニア","依頼を受けてデータの抽出・加工"
122,"データサイエンティスト","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
123,"データエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
124,"SE","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成"
125,"Customer Ops","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
126,"Senior Staff","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
127,"ソフトウェア・エンジニア","データウェアハウスやデータマートの作成"
128,"システム開発","データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
129,"CS","社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
130,"エンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
131,"データアーキテクト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
132,"IT Architect","データウェアハウスやデータマートの設計, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
133,"ＳＥ","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
134,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
135,"ソフトウェアエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
136,"データサイエンティスト","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 分析やレポーティング、意思決定者への助言"
137,"代表","データを利用した意思決定や判断"
138,"データサイエンティスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
139,"コンサルタント","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
140,"システムエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成"
141,"データサイエンティスト","BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
142,"エンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計"
143,"ウェブアナリスト","分析やレポーティング、意思決定者への助言"
144,"サービス企画","社内のデータ管理, 分析やレポーティング、意思決定者への助言"
145,"データエンジニア","依頼を受けてデータの抽出・加工"
146,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, 分析やレポーティング、意思決定者への助言"
147,"データアナリスト","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
148,"データエンジニア","依頼を受けてデータの抽出・加工, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
149,"データエンジニア","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理"
150,"特別研究員","依頼を受けてデータの抽出・加工, BIツールでダッシュボード作成, データウェアハウスやデータマートの設計, データウェアハウスやデータマートの作成, 社内のデータ管理, 分析やレポーティング、意思決定者への助言"
151,"取締役","データウェアハウスやデータマートの設計, 社内のデータ管理, 分析やレポーティング、意思決定者への助言, データを利用した意思決定や判断"
